コード,短縮,内容
"927",歯ぎしり,歯ぎしり（パドック）
"928",口出血,レース後口出血
"929",騎乗周回,騎乗してパドック周回
"930",喉不安,喉不安
"931",右粉骨折,右手根骨粉砕骨折
"932",両浅不裂,両前浅屈腱不全断裂
"933",両繋不裂,両後繋靭帯不全断裂
"934",両管挫創,両後管部挫創
"935",腹部挫創,腹部挫創
"936",鼻梁挫創,鼻梁部挫創
"937",背部挫創,背部挫創
"938",頭部打撲,頭部打撲傷
"939",頭部挫傷,頭部挫傷
"940",頭部外傷,頭部外傷
"941",舌部裂創,舌部裂創
"942",肺充血,肺充血
"943",左粉骨折,右第１指節種子骨粉砕
"944",右腸骨折,右腸骨々折
"000",UNDEFINED_01,UNDEFINED_01
"001",UNDEFINED_02,UNDEFINED_02
"002",UNDEFINED_03,UNDEFINED_03
"003",UNDEFINED_04,UNDEFINED_04
"004",UNDEFINED_05,UNDEFINED_05
"020",UNDEFINED_06,UNDEFINED_06
"021",UNDEFINED_07,UNDEFINED_07
"022",UNDEFINED_08,UNDEFINED_08
"023",UNDEFINED_09,UNDEFINED_09
"300",UNDEFINED_10,UNDEFINED_10
